1,2025-01-11,08:00:00,P1,5,78.9300,1,1,UN
2,2025-03-02,08:00:00,P2,7,92.9600,1,1,UN
3,2025-01-28,08:00:00,P3,9,197.6100,1,1,UN
4,2025-01-10,08:00:00,P4,38.6,139.7100,1,1,UN
5,2025-01-11,08:00:00,P5,3,126.7900,1,1,UN
6,2025-01-24,08:00:00,P6,2,36.8300,1,1,UN
7,2025-02-22,08:00:00,P7,5,40.7500,1,1,UN
8,2025-01-26,08:00:00,P8,20.04,51.3700,1,1,UN
9,2025-01-17,08:00:00,P9,6,172.5500,1,1,UN
10,2025-01-03,08:00:00,P10,90,44.2200,1,1,UN
11,2025-01-08,08:00:00,P11,6,190.3700,1,1,UN
12,2025-01-21,08:00:00,P12,2.86,136.4000,1,1,UN
13,2025-01-24,08:00:00,P13,13,61.8500,1,1,UN
14,2025-02-07,08:00:00,P14,53,106.3000,1,1,UN
15,2025-02-20,08:00:00,P15,27,43.4000,1,1,UN
16,2025-02-17,08:00:00,P16,37.11,14.4100,1,1,UN
17,2025-02-22,08:00:00,P17,3,139.8000,1,1,UN
18,2025-02-18,08:00:00,P18,5,185.2300,1,1,UN
19,2025-02-20,08:00:00,P19,10,182.5100,1,1,UN
20,2025-02-28,08:00:00,P20,2,68.5400,1,1,UN
21,2025-01-24,08:00:00,P21,25,61.8500,1,1,UN
22,2025-02-07,08:00:00,P22,6,106.3000,1,1,UN
23,2025-02-20,08:00:00,P23,7,43.4000,1,1,UN
24,2025-02-17,08:00:00,P24,4,14.4100,1,1,UN
25,2025-02-22,08:00:00,P25,8,139.8000,1,1,UN
26,2025-02-18,08:00:00,P26,3.11,185.2300,1,1,UN
29,2025-03-17,08:00:00,P24,5,14.4100,1,1,UN
30,2025-03-22,08:00:00,P25,3,139.8000,1,1,UN
31,2025-03-18,08:00:00,P26,4,185.2300,1,1,UN
